Date,NAICS,Value_Adjusted,Value_Unadjusted
31/01/92 00:00,722,17170.00,15693.00
29/02/92 00:00,722,16990.00,15835.00
31/03/92 00:00,722,16916.00,16848.00
30/04/92 00:00,722,16677.00,16494.00
31/05/92 00:00,722,16602.00,17648.00
30/06/92 00:00,722,16277.00,16814.00
31/07/92 00:00,722,16496.00,17304.00
31/08/92 00:00,722,16733.00,17888.00
30/09/92 00:00,722,16812.00,16459.00
31/10/92 00:00,722,17104.00,17668.00
30/11/92 00:00,722,17420.00,16723.00
31/12/92 00:00,722,17491.00,17491.00
31/01/93 00:00,722,17553.00,16201.00
28/02/93 00:00,722,17478.00,15625.00
31/03/93 00:00,722,17554.00,17414.00
30/04/93 00:00,722,17770.00,17841.00
31/05/93 00:00,722,17821.00,18712.00
30/06/93 00:00,722,18030.00,18571.00
31/07/93 00:00,722,17927.00,19092.00
31/08/93 00:00,722,18201.00,19329.00
30/09/93 00:00,722,18515.00,18108.00
31/10/93 00:00,722,18199.00,18745.00
30/11/93 00:00,722,18153.00,17463.00
31/12/93 00:00,722,18238.00,18366.00
31/01/94 00:00,722,17624.00,16073.00
28/02/94 00:00,722,18425.00,16509.00
31/03/94 00:00,722,18813.00,18757.00
30/04/94 00:00,722,18533.00,18774.00
31/05/94 00:00,722,18600.00,19400.00
30/06/94 00:00,722,18889.00,19437.00
31/07/94 00:00,722,18962.00,20157.00
31/08/94 00:00,722,18868.00,19943.00
30/09/94 00:00,722,18978.00,18826.00
31/10/94 00:00,722,19010.00,19314.00
30/11/94 00:00,722,19028.00,18248.00
31/12/94 00:00,722,19178.00,19562.00
31/01/95 00:00,722,19160.00,17340.00
28/02/95 00:00,722,18911.00,16982.00
31/03/95 00:00,722,19234.00,19369.00
30/04/95 00:00,722,19346.00,19404.00
31/05/95 00:00,722,19450.00,20209.00
30/06/95 00:00,722,19419.00,20235.00
31/07/95 00:00,722,19489.00,20502.00
31/08/95 00:00,722,19715.00,20878.00
30/09/95 00:00,722,19640.00,19601.00
31/10/95 00:00,722,19611.00,19768.00
30/11/95 00:00,722,19609.00,18785.00
31/12/95 00:00,722,19625.00,19939.00
31/01/96 00:00,722,19564.00,17647.00
29/02/96 00:00,722,19742.00,18439.00
31/03/96 00:00,722,19862.00,20259.00
30/04/96 00:00,722,19932.00,19832.00
31/05/96 00:00,722,20094.00,21139.00
30/06/96 00:00,722,19932.00,20669.00
31/07/96 00:00,722,20145.00,20971.00
31/08/96 00:00,722,20140.00,21792.00
30/09/96 00:00,722,20397.00,19826.00
31/10/96 00:00,722,20551.00,20736.00
30/11/96 00:00,722,20789.00,20332.00
31/12/96 00:00,722,20707.00,20603.00
31/01/97 00:00,722,21110.00,19316.00
28/02/97 00:00,722,21136.00,19128.00
31/03/97 00:00,722,21171.00,21383.00
30/04/97 00:00,722,21216.00,21110.00
31/05/97 00:00,722,21230.00,22674.00
30/06/97 00:00,722,21382.00,21874.00
31/07/97 00:00,722,21689.00,22665.00
31/08/97 00:00,722,21674.00,23300.00
30/09/97 00:00,722,21986.00,21392.00
31/10/97 00:00,722,21758.00,22106.00
30/11/97 00:00,722,21504.00,20751.00
31/12/97 00:00,722,21818.00,21665.00
31/01/98 00:00,722,21921.00,20408.00
28/02/98 00:00,722,22132.00,20096.00
31/03/98 00:00,722,22251.00,22340.00
30/04/98 00:00,722,22353.00,22241.00
31/05/98 00:00,722,22436.00,23872.00
30/06/98 00:00,722,22634.00,23200.00
31/07/98 00:00,722,22570.00,23744.00
31/08/98 00:00,722,22743.00,23857.00
30/09/98 00:00,722,22830.00,22328.00
31/10/98 00:00,722,23066.00,23735.00
30/11/98 00:00,722,23157.00,22022.00
31/12/98 00:00,722,23351.00,23351.00
31/01/99 00:00,722,22871.00,21316.00
28/02/99 00:00,722,23270.00,21199.00
31/03/99 00:00,722,23250.00,23320.00
30/04/99 00:00,722,23440.00,23674.00
31/05/99 00:00,722,23500.00,24651.00
30/06/99 00:00,722,23546.00,24088.00
31/07/99 00:00,722,23508.00,25059.00
31/08/99 00:00,722,23664.00,24611.00
30/09/99 00:00,722,23836.00,23240.00
31/10/99 00:00,722,24265.00,24847.00
