"ID";"HousingCharacteristics";"Regions";"Periods";"AverageConsumptionOfNaturalGas_1";"AverageConsumptionOfElectricity_2";"DistrictHeating_3"
"0";"T001100";"NL01  ";"2010JJ00";"    1850";"    3300";"     4.6"
"1";"T001100";"NL01  ";"2011JJ00";"    1450";"    3250";"     4.5"
"2";"T001100";"NL01  ";"2012JJ00";"    1500";"    3200";"     5.1"
"3";"T001100";"NL01  ";"2013JJ00";"    1600";"    3150";"     4.9"
"4";"T001100";"NL01  ";"2014JJ00";"    1200";"    3050";"     4.8"
"5";"T001100";"NL01  ";"2015JJ00";"    1250";"    2980";"     5.5"
"6";"T001100";"NL01  ";"2016JJ00";"    1300";"    2910";"     5.5"
"7";"T001100";"NL01  ";"2017JJ00";"    1240";"    2860";"     5.6"
"8";"T001100";"NL01  ";"2018JJ00";"    1270";"    2790";"       ."
"9";"T001100";"NL01  ";"2019JJ00";"    1180";"    2730";"     5.9"
"10";"T001100";"LD01  ";"2010JJ00";"    2200";"    3200";"       ."
"11";"T001100";"LD01  ";"2011JJ00";"    1700";"    3200";"       ."
"12";"T001100";"LD01  ";"2012JJ00";"    1850";"    3100";"     0.3"
"13";"T001100";"LD01  ";"2013JJ00";"    1950";"    3050";"     0.3"
"14";"T001100";"LD01  ";"2014JJ00";"    1450";"    2900";"     0.3"
"15";"T001100";"LD01  ";"2015JJ00";"    1510";"    2850";"     0.5"
"16";"T001100";"LD01  ";"2016JJ00";"    1580";"    2770";"     0.5"
"17";"T001100";"LD01  ";"2017JJ00";"    1490";"    2700";"     0.5"
"18";"T001100";"LD01  ";"2018JJ00";"    1530";"    2640";"       ."
"19";"T001100";"LD01  ";"2019JJ00";"    1390";"    2590";"     0.6"
"20";"T001100";"LD02  ";"2010JJ00";"    1950";"    3500";"     5.0"
"21";"T001100";"LD02  ";"2011JJ00";"    1550";"    3450";"     5.0"
"22";"T001100";"LD02  ";"2012JJ00";"    1600";"    3400";"     5.8"
"23";"T001100";"LD02  ";"2013JJ00";"    1700";"    3350";"     5.5"
"24";"T001100";"LD02  ";"2014JJ00";"    1250";"    3200";"     5.5"
"25";"T001100";"LD02  ";"2015JJ00";"    1320";"    3140";"     6.1"
"26";"T001100";"LD02  ";"2016JJ00";"    1370";"    3050";"     6.1"
"27";"T001100";"LD02  ";"2017JJ00";"    1320";"    2980";"     6.1"
"28";"T001100";"LD02  ";"2018JJ00";"    1340";"    2890";"       ."
"29";"T001100";"LD02  ";"2019JJ00";"    1230";"    2860";"     6.7"
"30";"T001100";"LD03  ";"2010JJ00";"    1650";"    3100";"     6.0"
"31";"T001100";"LD03  ";"2011JJ00";"    1300";"    3050";"     6.0"
"32";"T001100";"LD03  ";"2012JJ00";"    1350";"    3000";"     6.5"
"33";"T001100";"LD03  ";"2013JJ00";"    1450";"    2950";"     6.2"
"34";"T001100";"LD03  ";"2014JJ00";"    1050";"    2850";"     6.0"
"35";"T001100";"LD03  ";"2015JJ00";"    1130";"    2810";"     6.9"
"36";"T001100";"LD03  ";"2016JJ00";"    1170";"    2760";"     7.0"
"37";"T001100";"LD03  ";"2017JJ00";"    1110";"    2710";"     7.1"
"38";"T001100";"LD03  ";"2018JJ00";"    1140";"    2650";"       ."
"39";"T001100";"LD03  ";"2019JJ00";"    1060";"    2580";"     7.7"
"40";"T001100";"LDG4  ";"2010JJ00";"";"";""
"41";"T001100";"LDG4  ";"2011JJ00";"";"";""
"42";"T001100";"LDG4  ";"2012JJ00";"";"";""
"43";"T001100";"LDG4  ";"2013JJ00";"";"";""
"44";"T001100";"LDG4  ";"2014JJ00";"";"";""
"45";"T001100";"LDG4  ";"2015JJ00";"";"";""
"46";"T001100";"LDG4  ";"2016JJ00";"";"";""
"47";"T001100";"LDG4  ";"2017JJ00";"";"";""
"48";"T001100";"LDG4  ";"2018JJ00";"";"";""
"49";"T001100";"LDG4  ";"2019JJ00";"";"";""
"50";"T001100";"LD04  ";"2010JJ00";"    2000";"    3600";"       ."
"51";"T001100";"LD04  ";"2011JJ00";"    1550";"    3550";"       ."
"52";"T001100";"LD04  ";"2012JJ00";"    1650";"    3500";"     3.9"
"53";"T001100";"LD04  ";"2013JJ00";"    1750";"    3450";"     3.7"
"54";"T001100";"LD04  ";"2014JJ00";"    1300";"    3300";"     3.6"
"55";"T001100";"LD04  ";"2015JJ00";"    1370";"    3250";"     4.1"
"56";"T001100";"LD04  ";"2016JJ00";"    1420";"    3190";"     4.1"
"57";"T001100";"LD04  ";"2017JJ00";"    1360";"    3150";"     4.0"
"58";"T001100";"LD04  ";"2018JJ00";"    1380";"    3080";"       ."
"59";"T001100";"LD04  ";"2019JJ00";"    1280";"    2980";"     4.2"
"60";"T001100";"PV20  ";"2010JJ00";"    2150";"    3100";"       ."
"61";"T001100";"PV20  ";"2011JJ00";"    1700";"    3100";"       ."
"62";"T001100";"PV20  ";"2012JJ00";"    1850";"    3050";"     0.4"
"63";"T001100";"PV20  ";"2013JJ00";"    1900";"    3000";"     0.4"
"64";"T001100";"PV20  ";"2014JJ00";"    1400";"    2850";"     0.4"
"65";"T001100";"PV20  ";"2015JJ00";"    1500";"    2760";"     0.6"
"66";"T001100";"PV20  ";"2016JJ00";"    1570";"    2690";"     0.6"
"67";"T001100";"PV20  ";"2017JJ00";"    1480";"    2640";"     0.6"
"68";"T001100";"PV20  ";"2018JJ00";"    1510";"    2580";"       ."
"69";"T001100";"PV20  ";"2019JJ00";"    1350";"    2450";"     0.9"
"70";"T001100";"PV21  ";"2010JJ00";"    2150";"    3050";"       ."
"71";"T001100";"PV21  ";"2011JJ00";"    1650";"    3050";"       ."
"72";"T001100";"PV21  ";"2012JJ00";"    1750";"    3000";"     0.5"
"73";"T001100";"PV21  ";"2013JJ00";"    1850";"    2900";"     0.5"
"74";"T001100";"PV21  ";"2014JJ00";"    1350";"    2800";"     0.5"
"75";"T001100";"PV21  ";"2015JJ00";"    1450";"    2730";"     0.7"
"76";"T001100";"PV21  ";"2016JJ00";"    1520";"    2640";"     0.7"
"77";"T001100";"PV21  ";"2017JJ00";"    1430";"    2570";"     0.7"
"78";"T001100";"PV21  ";"2018JJ00";"    1470";"    2490";"       ."
"79";"T001100";"PV21  ";"2019JJ00";"    1350";"    2540";"     0.7"
"80";"T001100";"PV22  ";"2010JJ00";"    2350";"    3500";"       ."
"81";"T001100";"PV22  ";"2011JJ00";"    1850";"    3450";"       ."
"82";"T001100";"PV22  ";"2012JJ00";"    1950";"    3400";"       ."
"83";"T001100";"PV22  ";"2013JJ00";"    2050";"    3350";"       ."
"84";"T001100";"PV22  ";"2014JJ00";"    1500";"    3200";"       ."
"85";"T001100";"PV22  ";"2015JJ00";"    1600";"    3110";"     0.1"
"86";"T001100";"PV22  ";"2016JJ00";"    1680";"    3050";"     0.2"
"87";"T001100";"PV22  ";"2017JJ00";"    1590";"    2980";"     0.2"
"88";"T001100";"PV22  ";"2018JJ00";"    1610";"    2910";"       ."
"89";"T001100";"PV22  ";"2019JJ00";"    1480";"    2810";"     0.2"
"90";"T001100";"PV23  ";"2010JJ00";"    2100";"    3450";"       ."
"91";"T001100";"PV23  ";"2011JJ00";"    1650";"    3450";"       ."
"92";"T001100";"PV23  ";"2012JJ00";"    1750";"    3400";"     2.3"
"93";"T001100";"PV23  ";"2013JJ00";"    1850";"    3350";"     2.0"
"94";"T001100";"PV23  ";"2014JJ00";"    1300";"    3250";"     2.0"
"95";"T001100";"PV23  ";"2015JJ00";"    1390";"    3130";"     2.8"
"96";"T001100";"PV23  ";"2016JJ00";"    1430";"    3070";"     3.0"
"97";"T001100";"PV23  ";"2017JJ00";"    1390";"    3010";"     3.1"
"98";"T001100";"PV23  ";"2018JJ00";"    1410";"    2940";"       ."
"99";"T001100";"PV23  ";"2019JJ00";"    1280";"    2850";"     3.3"
"100";"T001100";"PV24  ";"2010JJ00";"    1150";"    3650";"    31.0"
"101";"T001100";"PV24  ";"2011JJ00";"     950";"    3600";"    32.0"
"102";"T001100";"PV24  ";"2012JJ00";"     950";"    3500";"    32.9"
"103";"T001100";"PV24  ";"2013JJ00";"    1000";"    3450";"    32.8"
"104";"T001100";"PV24  ";"2014JJ00";"     750";"    3350";"    32.5"
"105";"T001100";"PV24  ";"2015JJ00";"     760";"    3270";"    33.1"
"106";"T001100";"PV24  ";"2016JJ00";"     850";"    3140";"    33.0"
"107";"T001100";"PV24  ";"2017JJ00";"     810";"    3050";"    32.7"
"108";"T001100";"PV24  ";"2018JJ00";"     830";"    2930";"       ."
"109";"T001100";"PV24  ";"2019JJ00";"     770";"    2950";"    33.0"
"110";"T001100";"PV25  ";"2010JJ00";"    2000";"    3450";"       ."
"111";"T001100";"PV25  ";"2011JJ00";"    1600";"    3450";"       ."
"112";"T001100";"PV25  ";"2012JJ00";"    1650";"    3400";"     2.6"
"113";"T001100";"PV25  ";"2013JJ00";"    1750";"    3300";"     2.4"
"114";"T001100";"PV25  ";"2014JJ00";"    1300";"    3200";"     2.5"
"115";"T001100";"PV25  ";"2015JJ00";"    1390";"    3130";"     2.9"
"116";"T001100";"PV25  ";"2016JJ00";"    1440";"    3030";"     2.9"
"117";"T001100";"PV25  ";"2017JJ00";"    1390";"    2950";"     2.8"
"118";"T001100";"PV25  ";"2018JJ00";"    1400";"    2850";"       ."
"119";"T001100";"PV25  ";"2019JJ00";"    1290";"    2850";"     3.7"
"120";"T001100";"PV26  ";"2010JJ00";"    1750";"    3350";"    11.0"
"121";"T001100";"PV26  ";"2011JJ00";"    1350";"    3350";"    10.0"
"122";"T001100";"PV26  ";"2012JJ00";"    1350";"    3250";"    12.5"
"123";"T001100";"PV26  ";"2013JJ00";"    1450";"    3200";"    11.5"
"124";"T001100";"PV26  ";"2014JJ00";"    1050";"    3100";"    11.2"
"125";"T001100";"PV26  ";"2015JJ00";"    1150";"    3020";"    11.9"
"126";"T001100";"PV26  ";"2016JJ00";"    1200";"    2980";"    12.0"
"127";"T001100";"PV26  ";"2017JJ00";"    1140";"    2930";"    12.0"
"128";"T001100";"PV26  ";"2018JJ00";"    1160";"    2850";"       ."
"129";"T001100";"PV26  ";"2019JJ00";"    1070";"    2750";"    12.4"
"130";"T001100";"PV27  ";"2010JJ00";"    1650";"    3000";"       ."
"131";"T001100";"PV27  ";"2011JJ00";"    1300";"    3000";"       ."
"132";"T001100";"PV27  ";"2012JJ00";"    1350";"    2950";"     5.1"
"133";"T001100";"PV27  ";"2013JJ00";"    1450";"    2900";"     4.9"
"134";"T001100";"PV27  ";"2014JJ00";"    1100";"    2800";"     4.8"
"135";"T001100";"PV27  ";"2015JJ00";"    1140";"    2740";"     6.0"
"136";"T001100";"PV27  ";"2016JJ00";"    1190";"    2680";"     6.2"
"137";"T001100";"PV27  ";"2017JJ00";"    1130";"    2620";"     6.5"
"138";"T001100";"PV27  ";"2018JJ00";"    1160";"    2550";"       ."
"139";"T001100";"PV27  ";"2019JJ00";"    1070";"    2520";"     7.5"
"140";"T001100";"PV28  ";"2010JJ00";"    1600";"    3100";"     6.0"
"141";"T001100";"PV28  ";"2011JJ00";"    1250";"    3050";"     6.0"
"142";"T001100";"PV28  ";"2012JJ00";"    1300";"    3000";"     6.2"
"143";"T001100";"PV28  ";"2013JJ00";"    1400";"    2950";"     6.1"
"144";"T001100";"PV28  ";"2014JJ00";"    1050";"    2850";"     5.9"
"145";"T001100";"PV28  ";"2015JJ00";"    1090";"    2810";"     6.6"
"146";"T001100";"PV28  ";"2016JJ00";"    1120";"    2770";"     6.7"
"147";"T001100";"PV28  ";"2017JJ00";"    1080";"    2730";"     6.7"
"148";"T001100";"PV28  ";"2018JJ00";"    1100";"    2670";"       ."
"149";"T001100";"PV28  ";"2019JJ00";"    1020";"    2590";"     7.1"
"150";"T001100";"PV29  ";"2010JJ00";"    1850";"    3100";"       ."
"151";"T001100";"PV29  ";"2011JJ00";"    1450";"    3100";"       ."
"152";"T001100";"PV29  ";"2012JJ00";"    1550";"    3000";"     0.5"
"153";"T001100";"PV29  ";"2013JJ00";"    1650";"    3000";"     0.5"
"154";"T001100";"PV29  ";"2014JJ00";"    1250";"    2850";"     0.5"
"155";"T001100";"PV29  ";"2015JJ00";"    1330";"    2800";"     0.5"
"156";"T001100";"PV29  ";"2016JJ00";"    1360";"    2740";"     0.5"
"157";"T001100";"PV29  ";"2017JJ00";"    1280";"    2670";"     0.5"
"158";"T001100";"PV29  ";"2018JJ00";"    1310";"    2600";"       ."
"159";"T001100";"PV29  ";"2019JJ00";"    1220";"    2520";"     0.4"
"160";"T001100";"PV30  ";"2010JJ00";"    1950";"    3600";"       ."
"161";"T001100";"PV30  ";"2011JJ00";"    1500";"    3550";"       ."
"162";"T001100";"PV30  ";"2012JJ00";"    1600";"    3550";"     5.3"
"163";"T001100";"PV30  ";"2013JJ00";"    1700";"    3450";"     5.0"
"164";"T001100";"PV30  ";"2014JJ00";"    1250";"    3350";"     4.8"
"165";"T001100";"PV30  ";"2015JJ00";"    1340";"    3290";"     5.5"
"166";"T001100";"PV30  ";"2016JJ00";"    1380";"    3230";"     5.5"
"167";"T001100";"PV30  ";"2017JJ00";"    1320";"    3190";"     5.5"
"168";"T001100";"PV30  ";"2018JJ00";"    1340";"    3120";"       ."
"169";"T001100";"PV30  ";"2019JJ00";"    1250";"    3010";"     5.7"
"170";"T001100";"PV31  ";"2010JJ00";"    2150";"    3550";"       ."
"171";"T001100";"PV31  ";"2011JJ00";"    1650";"    3450";"       ."
"172";"T001100";"PV31  ";"2012JJ00";"    1750";"    3450";"     1.0"
"173";"T001100";"PV31  ";"2013JJ00";"    1850";"    3400";"     0.9"
